RMS Perpendicular Distance, count C4-O1, count C6
0.20820163240631562, 5.24, 0.72
0.375, 5.24, 0.68
0.625, 5.24, 0.72
0.9155794251093142, 5.08, 0.8
1.1405394308415222, 5.12, 0.72
1.375, 5.12, 0.68
1.6262891464783906, 5.16, 0.68
1.900032598071915, 4.92, 0.6
2.1705453760522864, 4.64, 0.56
2.422784009375411, 4.6, 0.48
2.625, 4.56, 0.44
2.7804703165547777, 4.56, 0.44
3.090328609529879, 4.44, 0.44
3.375, 4.56, 0.4
3.6535111871666914, 4.72, 0.44
3.875, 4.52, 0.44
4.193621622782856, 4.44, 0.44
4.47505892434906, 4.52, 0.44
4.625, 4.68, 0.44
4.875, 4.52, 0.48
5.200933956643248, 4.72, 0.48
5.375, 4.88, 0.44
5.625, 4.96, 0.44
5.875, 4.76, 0.44
6.227204457289951, 4.64, 0.44
6.375, 4.56, 0.4
6.681032958191744, 4.52, 0.44
6.8903488998831275, 4.52, 0.4
7.051810265869546, 4.72, 0.32
7.375, 4.76, 0.28
7.625, 4.76, 0.28
7.875, 4.76, 0.32
8.125, 4.8, 0.4
8.375, 4.84, 0.4
8.625, 4.84, 0.48
8.875, 4.92, 0.52
9.211237383286774, 4.88, 0.56
9.375, 4.96, 0.52
9.513696818639799, 4.8, 0.52
9.863898266028466, 4.68, 0.48
10.125, 4.64, 0.48
10.34867170060625, 4.56, 0.56
10.650607183877892, 4.4, 0.56
10.808376899471186, 4.56, 0.56
11.125, 4.96, 0.56
11.375, 4.96, 0.56
11.625, 4.84, 0.64
11.875, 4.84, 0.68
12.125, 4.92, 0.72
12.375, 5.16, 0.76
12.523457726645256, 5.2, 0.8
12.875, 5.08, 0.76
