RMS Perpendicular Distance, count C6
0.1563763253770873, 6.64
0.40297693137826684, 5.92
0.5898976891203932, 5.28
0.8930816694569337, 4.6
1.1547999124517234, 4.36
1.3713152367627761, 4.2
1.619994810937161, 3.96
1.8816644516123855, 3.48
2.1845374033575937, 3.32
2.3335489346661413, 3.24
2.6579714969056365, 3.0
2.865450947229857, 2.56
3.1002630127202555, 2.36
3.419838392586273, 2.2
3.6707577780191167, 2.08
3.890060612046979, 1.68
4.0997125285682126, 1.6
4.397877533537193, 1.4
4.667030108045926, 1.28
4.840030994930198, 1.16
5.1046711149999995, 0.88
5.422238657663286, 0.84
5.527679184, 0.68
5.839247338204635, 0.64
6.156164711594396, 0.44
6.307585101166667, 0.36
6.722815934166667, 0.32
6.866237189711765, 0.28
7.196200319833333, 0.12
7.375, 0.08
7.625, 0.08
7.9949171806666675, 0.08
8.084839659333333, 0.04
8.375, 0.0
8.625, 0.0
8.875, 0.0
9.125, 0.0
9.375, 0.0
9.625, 0.0
9.875, 0.0
10.125, 0.0
10.375, 0.0
10.625, 0.04
10.875, 0.12
11.125, 0.16
11.375, 0.16
11.625, 0.16
11.875, 0.16
12.125, 0.24
12.375, 0.32
12.625, 0.36
12.875, 0.36
13.125, 0.6
13.375, 0.64
13.625, 0.68
13.875, 0.72
14.125, 0.8
14.375, 1.0
14.625, 1.16
14.875, 1.2
15.125, 1.28
15.375, 1.44
15.625, 1.64
15.875, 1.68
16.125, 1.76
16.375, 1.96
16.685291008666667, 2.12
16.81198437459507, 2.24
17.135770046666668, 2.28
17.375, 2.48
17.625, 2.6
17.875, 2.68
18.062431024585013, 2.88
18.380470893052323, 3.0
18.570823199666666, 3.0
18.875, 3.12
19.17899459283885, 3.16
19.300764701, 3.24
19.54281582566667, 3.36
19.776285933333337, 3.48
20.069528582354714, 3.52
20.4164586335113, 3.56
20.593068523734576, 3.6
20.971587929666665, 3.64
21.168910886842, 3.64
21.349726957461947, 3.64
21.596685548950223, 3.72
21.95719731133333, 3.72
22.161338412313555, 3.76
22.402262108027237, 3.84
22.647404707782314, 3.8
22.88895264323003, 3.8
23.113684032467592, 3.72
23.38174286238331, 3.64
23.596605906199777, 3.52
23.909518478565808, 3.48
24.100611236578047, 3.56
24.396762845604425, 3.44
24.641718177410795, 3.28
24.82514275462537, 3.24
25.092327514999997, 3.12
25.34320807880346, 3.16
25.631442676235714, 2.92
25.866690802241173, 2.84
26.242074559899372, 2.68
26.378971206718724, 2.68
26.554915201122643, 2.64
26.83459888054589, 2.4
