z-Postion, natoms C4-N1, natoms C6, natoms N/A
362.5, 0, 5, 476
363.5, 2, 1254, 1542
364.5, 7, 639, 1598
365.5, 5, 7, 188
366.5, 51, 58, 283
367.5, 196, 263, 381
368.5, 73, 158, 216
369.5, 47, 101, 208
370.5, 69, 122, 329
371.5, 99, 121, 326
372.5, 76, 123, 279
373.5, 75, 113, 275
374.5, 81, 128, 324
375.5, 86, 130, 279
376.5, 70, 132, 256
377.5, 75, 85, 283
378.5, 77, 107, 293
379.5, 89, 143, 266
380.5, 83, 119, 285
381.5, 77, 116, 254
382.5, 84, 140, 270
383.5, 86, 133, 294
384.5, 87, 113, 274
385.5, 82, 96, 277
386.5, 86, 112, 289
387.5, 84, 140, 268
388.5, 71, 144, 263
389.5, 68, 145, 282
390.5, 53, 124, 299
391.5, 77, 127, 260
392.5, 69, 136, 262
393.5, 90, 140, 302
394.5, 92, 128, 271
395.5, 86, 109, 263
396.5, 72, 127, 290
397.5, 84, 110, 278
398.5, 91, 113, 277
399.5, 78, 122, 299
400.5, 72, 127, 267
401.5, 76, 146, 266
402.5, 72, 136, 279
403.5, 73, 119, 277
404.5, 87, 106, 275
405.5, 86, 120, 273
406.5, 108, 126, 270
407.5, 80, 117, 277
408.5, 76, 114, 228
409.5, 90, 111, 306
410.5, 79, 141, 269
411.5, 69, 121, 282
412.5, 66, 131, 280
413.5, 76, 142, 274
414.5, 68, 129, 266
415.5, 95, 102, 291
416.5, 94, 113, 288
417.5, 64, 121, 298
418.5, 54, 130, 284
419.5, 87, 135, 306
420.5, 81, 143, 342
421.5, 41, 99, 279
422.5, 56, 128, 227
423.5, 148, 183, 323
424.5, 110, 143, 311
425.5, 21, 39, 357
426.5, 3, 644, 794
427.5, 0, 699, 1606
428.5, 0, 547, 1015
429.5, 0, 215, 966
430.5, 0, 815, 1465
431.5, 0, 813, 905
432.5, 8, 67, 621
433.5, 105, 110, 273
434.5, 134, 172, 347
435.5, 90, 161, 253
436.5, 39, 110, 228
437.5, 85, 133, 314
438.5, 103, 129, 272
439.5, 85, 122, 278
440.5, 79, 125, 277
441.5, 64, 129, 269
442.5, 81, 106, 300
443.5, 88, 104, 287
444.5, 80, 107, 274
445.5, 81, 134, 254
446.5, 100, 111, 250
447.5, 83, 142, 308
448.5, 78, 130, 261
449.5, 66, 130, 273
450.5, 79, 128, 267
451.5, 86, 128, 281
452.5, 89, 119, 253
453.5, 97, 126, 271
454.5, 84, 124, 270
455.5, 87, 126, 255
456.5, 75, 112, 280
457.5, 82, 107, 274
458.5, 76, 120, 285
459.5, 78, 114, 307
460.5, 60, 120, 289
461.5, 52, 133, 276
462.5, 72, 148, 284
463.5, 81, 134, 282
464.5, 80, 117, 266
465.5, 76, 134, 290
466.5, 65, 115, 276
467.5, 76, 136, 295
468.5, 79, 123, 269
469.5, 88, 108, 264
470.5, 79, 122, 263
471.5, 91, 111, 307
472.5, 78, 119, 267
473.5, 80, 142, 296
474.5, 68, 121, 289
475.5, 61, 124, 304
476.5, 74, 139, 271
477.5, 76, 141, 272
478.5, 97, 126, 277
479.5, 73, 114, 262
480.5, 83, 120, 263
481.5, 73, 126, 249
482.5, 100, 115, 288
483.5, 101, 105, 276
484.5, 77, 107, 283
485.5, 62, 130, 267
486.5, 74, 140, 319
487.5, 80, 173, 338
488.5, 47, 99, 279
489.5, 42, 93, 205
490.5, 142, 229, 373
491.5, 116, 132, 375
492.5, 2, 13, 81
493.5, 1, 189, 1313
494.5, 2, 1593, 1231
495.5, 0, 0, 0
